name,description,price,stock
phentermine,Weight Loss,8.7,2934
bupropion / naltrexone,Weight Loss,6.6,2013
Contrave,Weight Loss,6.6,1939
liraglutide,Weight Loss,7.6,1711
escitalopram,Anxiety,7.4,1471
Saxenda,Weight Loss,7.5,1377
bisacodyl,Constipation,5.2,1357
bupropion,Depression,7,1334
nitrofurantoin,UTI,4.2,1242
sertraline,Depression,6.8,1209
buspirone,Anxiety,5.8,1034
zolpidem,Insomnia,6.9,1008
venlafaxine,Depression,6,1004
isotretinoin,Acne,8,999
lamotrigine,Bipolar Disorder,8,970
Dulcolax,Constipation,5.2,960
dulaglutide,Diabetes (Type 2),5.2,914
adapalene / benzoyl peroxide,Acne,7.3,909
Lexapro,Anxiety,7.5,899
escitalopram,Depression,7.2,895
amphetamine / dextroamphetamine,ADHD,6.8,894
Trulicity,Diabetes (Type 2),5.1,891
vortioxetine,Depression,5.9,885
trazodone,Insomnia,6.2,867
hydroxyzine,Anxiety,5.5,852
alprazolam,Anxiety,8.6,840
desvenlafaxine,Depression,6.8,839
methylphenidate,ADHD,7,833
lisdexamfetamine,ADHD,7.3,799
clonazepam,Anxiety,8.5,774
Pristiq,Depression,6.9,773
Vyvanse,ADHD,7.3,768
doxycycline,Acne,6.8,760
acetaminophen / hydrocodone,Pain,6.2,743
sulfamethoxazole / trimethoprim,UTI,4.3,743
semaglutide,Diabetes (Type 2),5.7,723
citalopram,Depression,7.2,717
duloxetine,Depression,6.2,712
fluoxetine,Depression,7,699
Epiduo,Acne,7.3,698
lurasidone,Bipolar Disorder,6.3,681
phentermine / topiramate,Weight Loss,7.8,679
drospirenone / ethinyl estradiol,Acne,6.4,669
tramadol,Pain,5.9,668
amlodipine,Hypertension,3.7,658
quetiapine,Bipolar Disorder,6.9,655
lorazepam,Anxiety,8,654
Latuda,Bipolar Disorder,6.3,634
Accutane,Acne,7.9,623
mirtazapine,Depression,6.7,621
Zoloft,Depression,6.8,612
Lexapro,Depression,7.2,607
vilazodone,Depression,6,606
Trintellix,Depression,6,603
tadalafil,Erectile Dysfunction,8.4,601
Adipex-P,Weight Loss,8.9,600
Lamictal,Bipolar Disorder,8.1,600
Cymbalta,Depression,6.3,588
Viibryd,Depression,6,586
sodium hyaluronate,Osteoarthritis,5.3,574
benzoyl peroxide / clindamycin,Acne,7.6,570
atomoxetine,ADHD,5.1,558
Qsymia,Weight Loss,7.7,556
Xanax,Anxiety,8.5,552
Macrobid,UTI,4.3,552
Ozempic,Diabetes (Type 2),5.6,551
Ambien,Insomnia,7,543
lisinopril,Hypertension,4.9,540
suvorexant,Insomnia,3.7,530
losartan,Hypertension,4.5,527
BuSpar,Anxiety,5.9,520
liraglutide,Diabetes (Type 2),7.6,516
Victoza,Diabetes (Type 2),7.6,507
quetiapine,Insomnia,7.6,507
Belsomra,Insomnia,3.6,505
mirtazapine,Anxiety,6.6,501
adapalene,Acne,6.3,499
ethinyl estradiol / norgestimate,Acne,5.4,489
minocycline,Acne,5.7,482
Strattera,ADHD,5.2,478
magnesium citrate,Constipation,8.7,473
levothyroxine,Hypothyroidism,5.1,468
diazepam,Anxiety,8.4,459
oxycodone,Pain,8.4,456
mirtazapine,Insomnia,7,453
gabapentin,Anxiety,7.9,450
spironolactone,Acne,7.2,449
Cialis,Erectile Dysfunction,8.6,448
tretinoin,Acne,7.7,439
acetaminophen / oxycodone,Pain,8.2,438
sumatriptan,Migraine,7.6,434
docosanol,Herpes,4.6,433
sildenafil,Erectile Dysfunction,8.2,423
Prozac,Depression,7,423
temazepam,Insomnia,6.4,423
Abreva,Herpes,4.5,422
aripiprazole,Bipolar Disorder,5.6,414
tapentadol,Pain,6.2,413
eszopiclone,Insomnia,5.6,407
exenatide,Diabetes (Type 2),6.4,406
venlafaxine,Anxiety,6.5,402
ketorolac,Pain,6.5,389
ciprofloxacin,UTI,4.8,388
gabapentin,Pain,6,387
Seroquel,Bipolar Disorder,6.8,383
Concerta,ADHD,6.8,382
duloxetine,Anxiety,6.2,381
paroxetine,Anxiety,7.1,366
Celexa,Depression,7.2,364
orlistat,Weight Loss,7.3,363
diphenhydramine,Insomnia,4.9,362
Adderall,ADHD,7.4,360
propranolol,Anxiety,7.3,356
Effexor XR,Depression,6.5,353
aripiprazole,Depression,6.3,352
cariprazine,Bipolar Disorder,5.7,346
Effexor,Depression,5.5,341
